"","D0N","D1N","J1N","D0S","D1S","J1S","D0L","D1L","J1L"
"CRUK0098",1.98119600399899,1.8726631818312,0.918719822813163,2.07138887065322,1.94161750715498,0.914354488126563,1.99466220101907,1.88372517853026,0.917444057240582
"CRUK0078",1.97135761330013,1.96821910701029,0.997701322380798,2.12192269170348,2.1079875718907,0.995186670926324,2.00226989772547,1.99848691104145,0.997562625750845
"CRUK0095",1.0118893689843,1.00902564470747,0.995911274298993,1.13664060856419,1.11428964089444,0.984431301101489,1.0118893689843,1.00902564470747,0.995911274298993
"CRUK0053",1.93256386797772,1.93255007655562,0.999989704408954,2.22101955357246,2.20463083049671,0.996677213860852,1.99341725619501,1.99058768300921,0.997950699383321
"CRUK0021",1.0670942331685,1.05213651080679,0.979634317513966,1.42832336959268,1.37062535583161,0.973097485913007,1.07790786237909,1.06073563449351,0.976831276001921
"CRUK0020",1.76554474021717,1.74539853457224,0.983831046833586,3.01695618504008,2.92648007879906,0.976595796737437,1.77590579958858,1.75603585351064,0.984741683495252
"CRUK0027",1.82813583077608,1.82813583077608,1,1.99411400966919,1.98824776966757,0.997692446659079,1.82813583077608,1.82813583077608,1
"CRUK0061",1,1,1,1,1,1,1,1,1
"CRUK0044",1.97472081982369,1.97472081982369,1,2.06309980382003,2.05979113566201,0.998539044453973,1.97472081982369,1.97472081982369,1
"CRUK0052",1.99557954554888,1.60910409298491,0.689452125316825,2.08501485886496,1.66942100833984,0.691025428854976,2.00008968001434,1.61265168352727,0.689378927624322
"CRUK0100",1.99802843314712,1.61974847039213,0.697591822019315,2.05223535992584,1.65784529953374,0.701180047715703,2.01009695728494,1.62975518871003,0.699484628015553
"CRUK0036",1.99307048432613,1.73924554980413,0.803468897749115,2.01313250587796,1.75739983824973,0.811595218974088,1.9977620442257,1.74148059034837,0.801929641232852
"CRUK0001",1.32805736661072,1.32491816325682,0.996762240856755,3.56963381836316,3.3966515019025,0.973465972408505,1.6856030335776,1.66893250289628,0.988405148968371
"CRUK0047",1.97022488331037,1.91319245638381,0.957621698337091,2.08556650983533,2.01755256865128,0.956160374340526,1.99229157840119,1.93418113454902,0.957294102397458
"CRUK0083",1.99182304736231,1.74720307484712,0.811293615388698,2.08464147966871,1.82050754874774,0.815076974391039,2.0173981673943,1.76769569003316,0.810489588615267
"CRUK0178",1.99931409347265,1.99161807525705,0.995569415576645,2.04894132808412,2.02238740259858,0.990563113591151,2.00577068097465,1.99468347615041,0.993947372515227
"CRUK0259",1.90567601103778,1.90564398794569,0.999975756663741,2.3036952583666,2.27401738179735,0.988822755729976,1.91698143544711,1.91689453661321,0.999934599597027
"CRUK0235",2.04680484047998,1.9860076256512,0.958502089944296,2.72882743405473,2.59077213210578,0.955528921200681,2.19544686478549,2.12764906296457,0.959052789365028
"CRUK0253",1.00000000013345,1.00000000013338,0.999999999999899,1.03254644845646,1.01725020112966,0.978467884013465,1.00000000013345,1.00000000013338,0.999999999999899
"CRUK0037",3.96245289063587,2.79700196659625,0.748711453511227,4.0119156720121,2.82748957820745,0.748305234218454,3.96871227828653,2.79981756235723,0.748298635581906
"CRUK0094",3.78156086809163,3.49990395586101,0.942467290756682,3.93544432384515,3.63631237151766,0.944171140411788,3.7860386001925,3.50259723598763,0.941869781310481
"CRUK0273",1.02388833210776,1.01762294005539,0.991144718576459,1.12784268084642,1.10483390462917,0.983965159859136,1.02427952281586,1.01785675848545,0.990925071077752
